survey_year,pair_key,src_var,mean,pct_high,pct_top,n,na_rate
2014,poverty,q38_1,3.154,85.6,30.5,7500,0.0
2014,ideology,q38_2,3.241,85.2,40.0,7500,0.0
2014,labor,q38_3,2.992,79.0,21.6,7500,0.0
2014,region,q38_4,2.778,65.1,14.4,7500,0.0
2014,develop,q38_5,2.876,71.5,17.7,7500,0.0
2014,age,q38_6,2.744,62.3,14.4,7500,0.0
2014,gender,q38_7,2.497,47.3,6.2,7500,0.0
2014,religion,q38_8,2.688,59.9,12.3,7500,0.0
2015,poverty,q41_1,3.123,84.1,29.0,7700,0.0
2015,ideology,q41_2,3.239,86.7,37.8,7700,0.0
2015,labor,q41_3,3.024,81.7,21.8,7700,0.0
2015,region,q41_4,2.755,64.2,13.5,7700,0.0
2015,develop,q41_5,2.915,74.6,18.6,7700,0.0
2015,age,q41_6,2.774,65.1,15.2,7700,0.0
2015,gender,q41_7,2.478,45.2,7.7,7700,0.0
2015,religion,q41_8,2.641,55.6,13.0,7700,0.0
2016,poverty,q43_1,3.145,85.8,29.3,8000,0.0
2016,ideology,q43_2,3.231,86.2,38.0,8000,0.0
2016,labor,q43_3,3.056,81.8,24.7,8000,0.0
2016,region,q43_4,2.725,60.8,13.7,8000,0.0
2016,develop,q43_5,2.86,69.1,18.7,8000,0.0
2016,age,q43_6,2.756,63.8,14.5,8000,0.0
2016,gender,q43_7,2.527,49.8,7.5,8000,0.0
2016,religion,q43_8,2.627,57.0,10.4,8000,0.0
2017,poverty,q42_1,3.121,85.5,27.2,8000,0.0
2017,ideology,q42_2,3.302,88.0,43.1,8000,0.0
2017,labor,q42_3,2.973,77.1,21.4,8000,0.0
2017,region,q42_4,2.691,59.4,11.6,8000,0.0
2017,develop,q42_5,2.797,66.7,15.0,8000,0.0
2017,age,q42_6,2.734,62.3,13.7,8000,0.0
2017,gender,q42_7,2.539,48.9,8.6,8000,0.0
2017,religion,q42_8,2.642,56.2,11.3,8000,0.0
2018,poverty,q45_1,3.043,82.4,22.9,8000,0.0
