survey_year,target_key,src_var,pct_contact,pct_total,n_contact,n_total
2020,female,q24_2_1,41.5,22.2,7357,14519
2020,male,q24_2_2,23.5,12.5,7357,14519
2020,immigrant,q24_2_5,11.9,6.3,7357,14519
2020,sexual_minority,q24_2_8,39.9,21.3,7357,14519
2021,female,q25_2_1,32.1,17.6,8939,17593
2021,male,q25_2_2,22.4,12.3,8939,17593
2021,immigrant,q25_2_6,15.5,8.5,8939,17593
2021,sexual_minority,q25_2_9,28.5,15.6,8939,17593
2022,female,q25_2_1,25.7,14.5,8355,16148
2022,male,q25_2_2,18.1,10.2,8355,16148
2022,immigrant,q25_2_6,15.4,8.7,8355,16148
2022,sexual_minority,q25_2_9,26.5,15.0,8355,16148
2023,female,q25_2_1,31.2,18.7,8602,15303
2023,male,q25_2_2,22.1,13.2,8602,15303
2023,immigrant,q25_2_6,14.9,8.9,8602,15303
2023,sexual_minority,q25_2_9,28.4,17.0,8602,15303
2024,female,q25_2_1,21.3,13.2,9054,15597
2024,male,q25_2_2,12.8,7.9,9054,15597
2024,immigrant,q25_2_6,16.4,10.1,9054,15597
2024,sexual_minority,q25_2_9,31.8,19.6,9054,15597
