survey_year,target_label,src_var,pct_contact,pct_total,n_contact,n_total
2020,여성,q24_2_1,41.5,22.2,7357,14519
2020,남성,q24_2_2,23.5,12.5,7357,14519
2020,노인,q24_2_3,20.1,10.8,7357,14519
2020,장애인,q24_2_4,23.0,12.3,7357,14519
2020,"이주민(이주노동자, 결혼이주민 등)",q24_2_5,11.9,6.3,7357,14519
2020,북한이탈주민,q24_2_6,11.9,6.3,7357,14519
2020,난민,q24_2_7,13.9,7.4,7357,14519
2020,성소수자,q24_2_8,39.9,21.3,7357,14519
2020,특정 종교인,q24_2_9,42.8,22.9,7357,14519
2020,노숙자,q24_2_10,9.2,4.9,7357,14519
2020,특정지역 출신인,q24_2_11,21.4,11.4,7357,14519
2020,정치인,q24_2_12,47.6,25.4,7357,14519
2020,연예인,q24_2_13,27.9,14.9,7357,14519
2021,여성,q25_2_1,32.1,17.6,8939,17593
2021,남성,q25_2_2,22.4,12.3,8939,17593
2021,아동/청소년,q25_2_3,11.9,6.5,8939,17593
2021,노인,q25_2_4,17.3,9.5,8939,17593
2021,장애인,q25_2_5,21.5,11.8,8939,17593
2021,"이주민(이주노동자, 결혼이주민 등)",q25_2_6,15.5,8.5,8939,17593
2021,북한이탈주민,q25_2_7,7.4,4.0,8939,17593
2021,난민,q25_2_8,11.9,6.5,8939,17593
2021,성소수자,q25_2_9,28.5,15.6,8939,17593
2021,특정 종교인,q25_2_10,27.0,14.8,8939,17593
2021,노숙자,q25_2_11,9.9,5.4,8939,17593
2021,특정지역 출신인,q25_2_12,15.2,8.4,8939,17593
2021,정치인,q25_2_13,39.7,21.7,8939,17593
2021,연예인,q25_2_14,23.6,12.9,8939,17593
2022,여성,q25_2_1,25.7,14.5,8355,16148
2022,남성,q25_2_2,18.1,10.2,8355,16148
2022,아동/청소년,q25_2_3,10.7,6.0,8355,16148
2022,노인,q25_2_4,16.6,9.4,8355,16148
2022,장애인,q25_2_5,24.0,13.5,8355,16148
2022,"이주민(이주노동자, 결혼이주민 등)",q25_2_6,15.4,8.7,8355,16148
2022,북한이탈주민,q25_2_7,7.3,4.1,8355,16148
2022,난민,q25_2_8,10.9,6.1,8355,16148
2022,성소수자,q25_2_9,26.5,15.0,8355,16148
2022,특정 종교인,q25_2_10,22.0,12.4,8355,16148
2022,노숙자,q25_2_11,10.0,5.6,8355,16148
2022,특정지역 출신인,q25_2_12,17.7,10.0,8355,16148
2022,정치인,q25_2_13,44.1,24.9,8355,16148
2022,연예인,q25_2_14,20.7,11.7,8355,16148
2023,여성,q25_2_1,31.2,18.7,8602,15303
2023,남성,q25_2_2,22.1,13.2,8602,15303
2023,아동/청소년,q25_2_3,11.5,6.9,8602,15303
2023,노인,q25_2_4,22.2,13.3,8602,15303
2023,장애인,q25_2_5,27.6,16.6,8602,15303
2023,"이주민(이주노동자, 결혼이주민 등)",q25_2_6,14.9,8.9,8602,15303
2023,북한이탈주민,q25_2_7,6.9,4.2,8602,15303
2023,난민,q25_2_8,7.3,4.4,8602,15303
2023,성소수자,q25_2_9,28.4,17.0,8602,15303
2023,특정 종교인,q25_2_10,21.1,12.6,8602,15303
2023,노숙자,q25_2_11,10.7,6.4,8602,15303
2023,특정지역 출신인,q25_2_12,14.6,8.8,8602,15303
2023,정치인,q25_2_13,41.9,25.1,8602,15303
2023,연예인,q25_2_14,23.5,14.1,8602,15303
2024,여성,q25_2_1,21.3,13.2,9054,15597
2024,남성,q25_2_2,12.8,7.9,9054,15597
2024,아동/청소년,q25_2_3,9.0,5.6,9054,15597
2024,노인,q25_2_4,16.9,10.4,9054,15597
2024,장애인,q25_2_5,23.5,14.5,9054,15597
2024,"이주민(이주노동자, 결혼이주민 등)",q25_2_6,16.4,10.1,9054,15597
2024,북한이탈주민,q25_2_7,7.8,4.8,9054,15597
2024,난민,q25_2_8,10.1,6.2,9054,15597
2024,성소수자,q25_2_9,31.8,19.6,9054,15597
2024,특정 종교인,q25_2_10,19.7,12.1,9054,15597
2024,노숙자,q25_2_11,9.2,5.7,9054,15597
2024,특정지역 출신인,q25_2_12,16.1,10.0,9054,15597
2024,정치인,q25_2_13,41.7,25.8,9054,15597
2024,연예인,q25_2_14,26.2,16.2,9054,15597
