dataset,handle,survey_year,study_no,n,weight_var
사회통합실태조사,20140217,2014,0217,7500,wt1;wt2
사회통합실태조사,20150144,2015,0144,7700,wt1;wt2
사회통합실태조사,20160092,2016,0092,8000,wt1;wt2
사회통합실태조사,20170071,2017,0071,8000,wt1;wt2
사회통합실태조사,20180108,2018,0108,8000,wt1;wt2
사회통합실태조사,20190060,2019,0060,8000,wt1;wt2
사회통합실태조사,20200033,2020,0033,8336,wt1;wt2
사회통합실태조사,20210090,2021,0090,8077,wt1;wt2
사회통합실태조사,20220068,2022,0068,8294,wt1;wt2
사회통합실태조사,20230040,2023,0040,8221,wt1;wt2
사회통합실태조사,20240066,2024,0066,8251,wt1;wt2
인권의식실태조사,20200110,2020,0110,14519,wt
인권의식실태조사,20210114,2021,0114,17593,wgt_f;wgt_s
인권의식실태조사,20220112,2022,0112,16148,wgt_f;wgt_s
인권의식실태조사,20230099,2023,0099,15303,wt_f;wt_s
인권의식실태조사,20240044,2024,0044,15597,wt_f;wt_s
